23:06:28.284 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:28.284
23:06:30.285 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:30.285
23:06:30.285 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:30.285
23:06:30.285 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:30.285
23:06:32.285 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:32.285
23:06:32.285 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:32.285
23:06:32.285 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:32.285
23:06:34.292 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:34.292
23:06:34.292 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:34.292
23:06:34.292 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:34.292
23:06:36.292 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:36.292
23:06:36.292 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:36.292
23:06:36.292 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:36.292
23:06:38.296 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:38.296
23:06:38.296 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:38.296
23:06:38.296 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:38.296
23:06:40.296 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:40.296
23:06:40.296 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:40.296
23:06:40.296 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:40.296
23:06:42.303 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:42.303
23:06:42.303 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:42.303
23:06:42.303 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:42.303
23:06:44.304 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:44.304
23:06:44.304 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:44.304
23:06:44.304 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:44.304
23:06:46.305 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:46.305
23:06:46.305 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:46.305
23:06:46.305 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:46.305
23:06:48.307 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:48.307
23:06:48.307 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:48.307
23:06:48.307 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:48.307
23:06:50.316 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:50.316
23:06:50.316 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:50.316
23:06:50.316 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:50.316
23:06:52.321 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:52.321
23:06:52.321 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:52.321
23:06:52.321 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:52.321
23:06:54.322 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:54.322
23:06:54.322 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:54.322
23:06:54.322 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:54.322
23:06:56.323 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:56.323
23:06:56.323 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:56.323
23:06:56.323 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:56.323
23:06:58.337 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:58.337
23:06:58.337 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:58.337
